Site,Arthropod,Bird,Lizard,Mammal,Unknown,Removed,Dropped,Interact,mammal.visits,mean_per_Interact,Total_fruits,Canopy,Lat,Lon,Elevation,Date,dist_road,dist_built,Area,Age,Dist_continent,Number_neighbors,per_forest,Native_plants,Bird diversity,Bird mass,Reptile_diversity,Reptile_mass,per_built,per_crops,Population,GDP,mammal_presence,road_length,near_length,elevation_range,number_of_tourists,economic_isolation,bird.visits,mass_effect,heavy_rain,island,Group,Continent,Site
Montserrat_1,1,4,0,0,0,149,NA,153,0,0.85,180,87.41666667,16.77212,-62.20389917,309.9166667,3/25/2023,293.1803897,253.2573204,110.5,2.5,589.405,5,46.5,595,36,2195.595,3,8362,10.4,0,4519,0.167,0,27,38607.25915,936,9000,0.9453899,2.5,446.6396769,NO,F,A,A,Montserrat_1
Montserrat_2,3,2,0,0,0,100,NA,102,0,0.566666667,180,86.58333333,16.76999,-62.20281667,324.9166667,3/25/2023,544.5777504,503.7054087,110.5,2.5,589.405,5,46.5,595,36,2195.595,3,8362,10.4,0,4519,0.167,0,27,38607.25915,936,9000,0.9453899,1,446.6396769,NO,F,A,A,Montserrat_2
Nevis_1,1,1,8,2,0,119,2,130,5,0.722222222,180,86.83333333,17.14377023,-62.58543901,327.5,3/21/2023 0:00,699.4397226,622.0617107,96.54,2.5,624.705,8,35.4,207,51,2755.04,4,3530,35.9,0.4,12277,1.528,1,57,2772.629238,973,115000,0.8,0,164.5122812,NO,G,B,A,Nevis_1
Nevis_2,0,1,0,0,0,179,0,180,4,1,180,85.91666667,17.14344351,-62.58553532,554.8333333,3/21/2023 0:00,669.2359258,588.6027694,96.54,2.5,624.705,8,35.4,207,51,2755.04,4,3530,35.9,0.4,12277,1.528,1,57,2772.629238,973,115000,0.8,0,164.5122812,NO,G,B,A,Nevis_2
Saba_1,0,7,0,1,0,9,1,17,0,0.094444444,180,85.08333333,17.63465496,-63.23866393,821.3333333,5/4/2023 0:00,650.3936072,716.4144041,13.02,1,649.701,6,39.9,363,38,2301.165,2,8237,11.4,0,2035,0.048,0,8,21626.39268,840,13200,0.9972927,0,74.92924287,NO,H,B,A,Saba_1
Saba_2,0,6,0,2,0,31,15,39,0,0.216666667,180,85.33333333,17.63451186,-63.23927492,833.4166667,5/4/2023 0:00,676.6366803,779.7294677,13.02,1,649.701,6,39.9,363,38,2301.165,2,8237,11.4,0,2035,0.048,0,8,21626.39268,840,13200,0.9972927,0,74.92924287,NO,H,B,A,Saba_2
St. Eustacius_1,0,1,1,4,0,78,11,84,0,0.466666667,180,63.33333333,17.47762039,-62.96718704,406.3333333,4/21/2023 0:00,375.8353132,457.783518,20.87,2,641.032,6,20.6,322,39,2304.015,4,3530,30.6,0.5,3293,0.102,0,5,56774.22778,564,10500,0.6622834,0.5,118.2101317,NO,I,B,A,St. Eustacius_1
St. Eustacius_2,0,2,3,6,0,21,1,32,0,0.177777778,180,72.83333333,17.47722416,-62.96710705,415.4166667,4/21/2023 0:00,403.1470739,480.48679,20.87,2,641.032,6,20.6,322,39,2304.015,4,3530,30.6,0.5,3293,0.102,0,5,56774.22778,564,10500,0.6622834,0,118.2101317,NO,I,B,A,St. Eustacius_2
St. Kitts_1,1,1,0,0,0,79,0,80,0.5,0.444444444,180,89.16666667,17.37481126,-62.81681178,686.8333333,4/3/2023 0:00,1471.978639,1431.365746,179.57,3,625.26,9,40.3,491,50,2679.64,6,11756,21.4,8.9,34918,1.528,1,133,12826.57164,1134,115000,0.8,0,89.80539177,YES,J,B,A,St. Kitts_1
St. Kitts_2,0,2,0,5,0,15,1,22,0,0.122222222,180,89.5,17.37516573,-62.81728917,614.75,4/3/2023 0:00,1408.162302,1367.531708,179.57,3,625.26,9,40.3,491,50,2679.64,6,11756,21.4,8.9,34918,1.528,0,133,12826.57164,1134,115000,0.8,0,89.80539177,YES,J,B,A,St. Kitts_2
St. Vincent_1,0,30,2,1,4,60,1,97,0,0.538888889,180,43.25,13.21985619,-61.21158631,444.75,2/27/2023 0:00,2067.016018,2099.408125,360.6,1.7,272.121,3,64.7,893,43,3149.865,4,8580,17.6,0.8,98954,1.265,0,132,7148.500899,1208,76000,0.865099,0,113.8955762,NO,K,B,A,St. Vincent_1
St. Vincent_2,3,23,1,0,1,28,1,53,1.5,0.294444444,180,52.83333333,13.22069354,-61.21123194,463.5833333,2/27/2023 0:00,2167.23082,2197.5061,360.6,1.7,272.121,3,64.7,893,43,3149.865,4,8580,17.6,0.8,98954,1.265,1,132,7148.500899,1208,76000,0.865099,0,113.8955762,NO,K,B,A,St. Vincent_2
Tobago_1,19,7,0,0,1,50,1,58,2,0.322222222,180,87.75,11.28085083,-60.62300667,504.9166667,2/26/2023,139.1555613,930.3140349,310.95,66,97.172,1,74.7,722,108,7105.1,5,13111.00538,20.7,0.1,60874,1.037,1,173,10362.50773,576,71541,0.9956683,0,10362.51,NO,L,A,B,Tobago_1
Tobago_2,10,7,1,0,1,114,0,123,0,0.683333333,180,89.41666667,11.2791475,-60.62543333,550.3333333,2/26/2023,430.9585123,1008.58172,310.95,66,97.172,1,74.7,722,108,7105.1,5,13111.00538,20.7,0.1,60874,1.037,0,173,10362.50773,576,71541,0.9956683,1.5,10362.51,NO,L,A,B,Tobago_2
Trinidad_1,0,7,0,1,1,23,1,32,2,0.177777778,180,88.41666667,10.72703,-61.30546917,707.1666667,2/8/2023,152.4635962,1957.40098,4848.18,145,10.362,2,67.7,1886,208,13359.425,8,13096.81138,15.8,5.7,1267145,23.423,1,1903,35066.09,940,408459,0.1331219,0,13823337.14,NO,M,A,B,Trinidad_1
Trinidad_2,2,21,1,0,0,22,0,44,0,0.266666667,165,88.54545455,10.72739818,-61.30359545,701.7272727,2/8/2023,228.6134239,2154.315536,4848.18,145,10.362,2,67.7,1886,208,13359.425,8,13096.81138,15.8,5.7,1267145,23.423,0,1903,35066.09,940,408459,0.1331219,0,13823337.14,NO,M,A,B,Trinidad_2
